"USDA, FDA and ODS-NIH Database for the Iodine Content of Common Foods per Serving, Release 4, October 2024",,,,,,,,,,,,,,
DB_ID,"Standard Reference (Foundation FoodsA) 
FDC NDB No.",TDS No.,Description,Serving size,Serving measure,Serving weight (g),Iodine      (mcg/ serving)B,n,SD ,Min,Max,Source,Serving size referenceC,
434,,,"Nori, seaweed, dried",2,"tbsp, flaked",5,116,3,31,82,143,USDA,FDA,
317,11279,267,"Okra, fresh/frozen, boiled ",0.50,cup,80,0.8,7,0.5,0.2,1.4,FDA,"FDA, USDA",
82,11282,128,"Onion, mature, raw",0.50,"cup, chopped",80,0.2,35,0.3,0.0,1.3,FDA,"FDA, USDA",
37,11313,46,"Peas, green, fresh/frozen, boiled ",0.50,cup,80,0.0,10,0.1,0.0,0.4,FDA,"FDA, USDA",
80,11333,125,"Pepper, bell, green, raw",1,"cup, sliced",92,0.2,35,0.4,0.0,2.5,FDA,"FDA, USDA",
89,11937,161,"Pickles, dill, cucumber",4,slices,28,0.2,10,0.1,0.1,0.5,FDA,"FDA, USDA",
83,11367,136,"Potato, peeled, boiled1",0.50,cup,117,0.0,34,0.1,0.0,0.7,FDA,"FDA, USDA",
84,11674,137,"Potato, with peel, baked",1,small,138,0.7,35,1.9,0.0,9.7,FDA,"FDA, USDA",
293,11371,354,"Potatoes, mashed, prepared from fresh",0.67,cup,140,8.6,7,5.1,5.3,20,FDA,FDA,
220,11549,119/519,"Sauce, tomato, canned/bottled",0.25,cup,61,0.5,10,0.3,0.0,0.9,FDA,"FDA, USDA",
1,11458,107,"Spinach, fresh/frozen, boiled ",0.50,cup,90,3.5,8,2.6,0.9,7.3,FDA,"FDA, USDA",
206,11457,408,"Spinach, raw",3,cups,90,6.0,27,6.6,1.4,36,FDA,"FDA, USDA",
332,11468,124,"Squash, summer, fresh/frozen, boiled ",0.50,"cup, sliced",90,0.2,8,0.1,0.1,0.5,FDA,"FDA, USDA",
205,11478,407,"Squash, summer, zucchini, fresh/frozen, boiled",0.50,"cup, sliced",90,0.5,27,0.9,0.0,4.1,FDA,"FDA, USDA",
81,11644,126,"Squash, winter (Hubbard or acorn), fresh/frozen, boiled",0.67,cup,137,1.1,35,1.5,0.0,7.3,FDA,"FDA, USDA",
195,11508,397,"Sweet potato, baked, peel removed",1,"medium (2"" diameter, 5"" long)",114,1.7,28,1.7,0.0,7.1,FDA,"FDA, USDA",
325,11514,358,"Sweet potato, canned ",0.50,cup,127,0.8,7,1.0,0.0,2.9,FDA,"FDA, USDA",
76,11529,117,"Tomato, raw",0.50,"cup, chopped",90,0.2,35,0.3,0.0,1.1,FDA,"FDA, USDA",
316,11567,266,"Turnip, fresh/frozen, boiled ",0.50,cup,78,0.2,7,0.1,0.0,0.4,FDA,"FDA, USDA",
Legumes,,,,,,,,,,,,,,
270,,527,"Beans, black, canned, drained",0.33,cup,80,0.0,3,0.0,0.0,0.0,FDA,USDA,
456,,545,"Beans, garbanzo (chickpeas), canned, drained solids",0.67,cup,90,0.0,1,,,,FDA,FDA,
271,,528,"Beans, kidney, canned, drained",0.33,cup,89,0.0,3,0.0,0.0,0.0,FDA,"FDA, USDA",
228,16146,529,"Beans, pinto, canned, drained",0.50,cup,85,0.8,3,1.4,0.0,2.4,FDA,USDA,
304,16043,38,"Beans, pinto, from dry, boiled",0.50,cup,85,0.0,7,0.1,0.0,0.2,FDA,USDA,
167,16103,341,"Beans, refried, canned",0.50,cup,119,1.0,10,1.0,0.0,3.0,FDA,USDA,
272,,530,"Beans, white, canned, drained",0.50,cup,90,0.8,3,1.4,0.0,2.3,FDA,"FDA, USDA",
323,16050,342,"Beans, white, from dry, boiled",0.50,cup,90,0.1,7,0.1,0.0,0.4,FDA,"FDA, USDA",
35,16009,39,"Beans, with pork, canned",0.50,cup,126,0.2,10,0.2,0.0,0.6,FDA,USDA,
457,,546,"Lentils, dry, cooked",0.50,cup,90,0.0,1,,,,FDA,FDA,
38,16167,47,"Peanut butter, smooth/creamy",2,tbsp,32,0.1,10,0.1,0.0,0.4,FDA,"FDA, USDA",
39,16090,48,"Peanuts, dry roasted, salted ",3,tbsp,27,0.1,10,0.1,0.0,0.3,FDA,USDA,
458,16126,547,"Tofu, firm, plain, drained solids",3,oz,85,0.0,1,,,,FDA,FDA,
18,43137,544,"Veggie burger, soy based, baked",1,piece,56,5.3,3,0.9,4.4,6.2,FDA,"FDA, USDA",
Nuts and Seeds,,,,,,,,,,,,,,
227,12061,526,"Almonds, shelled",0.33,"cup, sliced",30,0.0,3,0.0,0.0,0.0,FDA,"FDA, USDA",
455,12586,414,"Nuts, cashew, oil roasted, with salt added",1,oz,28,0.0,1,,,,FDA,FDA,
168,12537,343,"Seeds, sunflower, shelled, salted, roasted",0.25,cup,32,0.0,10,0.1,0.0,0.3,FDA,USDA,
201,12155,403,"Walnuts, shelled",0.25,"cup, pieces",30,0.0,23,0.0,0.0,0.0,FDA,"FDA, USDA",
Beverages including Juices,,,,,,,,,,,,,,
110,14003,198,"Alcohol, beer",12,fl oz  ,356,3.1,10,1.9,0.7,7.5,FDA,"USDA, US Dietary Guidelines for Americans ",
207,14051,500,"Alcohol, distilled, vodka",1,fl oz  ,42,0.0,3,0.0,0.0,0.0,FDA,"USDA, US Dietary Guidelines for Americans",
248,,200,"Alcohol, distilled, whiskey/scotch",1,fl oz  ,42,0.0,3,0.0,0.0,0.0,FDA,"USDA, US Dietary Guidelines for Americans",
342,14084,199/501/502,"Alcohol, wine, red/white",5,fl oz  ,148,2.3,13,1.1,1.0,4.9,FDA,"USDA, US Dietary Guidelines for Americans",
210,14091,503,"Beverage, almond ",8,fl oz  ,262,1.1,9,0.8,0.2,2.4,FDA/USDAD,USDA,
211,14090,504,"Beverage, coconut water",12,fl oz  ,365,2.1,3,0.8,1.5,2.9,FDA,USDA,
212,14060,505,"Beverage, energy",12,fl oz  ,360,0.5,3,0.8,0.0,1.4,FDA,"FDA, USDA",
213,16222,506,"Beverage, soy",8,fl oz  ,243,3.2,6,2.8,0.7,7.3,FDA/USDAD,USDA,
445,,,"Beverage, soy, shelf stable (with seaweed or seaweed derivative)",8,fl oz  ,243,12,2,,7.0,17,FDA/USDAD,USDA,
264,,507,"Beverage, sports",12,fl oz  ,360,0.0,3,0.0,0.0,0.0,FDA,FDA,
374,14164,,"Beverage, chocolate malt powder, prepared with 1% milk, fortified",8,fl oz  ,251,71,1,,,,USDA,USDA,
108,14416,194,"Carbonated beverage, cola, low-calorie ",12,fl oz  ,360,1.1,10,0.9,0.0,2.2,FDA,"FDA, USDA",
106,14148,191,"Carbonated beverage, cola, regular",12,fl oz  ,360,0.7,10,0.6,0.0,1.8,FDA,"FDA, USDA",
320,14144,306/508,"Carbonated beverage, fruit-flavored ",12,fl oz  ,360,0.5,10,0.6,0.0,1.8,FDA,"FDA, USDA",
155,14209,305,"Coffee, brewed from ground",12,fl oz  ,360,0.4,10,0.4,0.0,1.1,FDA,"FDA, USDA",
13,14201,381,"Coffee, decaffeinated, from ground",12,fl oz  ,360,0.7,7,0.4,0.4,1.4,FDA,"FDA, USDA",
173,14242,351,"Cranberry juice cocktail, canned/bottled ",8,fl oz  ,253,0.6,10,0.7,0.0,2.0,FDA,USDA,
156,14651,307,"Fruit drink (5% - 25% juice), canned/bottled",8,fl oz  ,238,1.6,10,0.7,0.7,2.9,FDA,USDA,
107,14541,193,"Fruit drink from powder, reconstituted ",8,fl oz  ,262,0.1,10,0.4,0.0,1.3,FDA,USDA,
68,09400,99,"Juice, apple, bottled",8,fl oz  ,248,1.1,10,1.4,0.0,4.7,FDA,USDA,
172,09444,350,"Juice, fruit blend (100% juice), canned/bottled",8,fl oz  ,250,2.0,10,0.8,1.0,3.5,FDA,USDA,
138,09130,257,"Juice, grape, bottled",8,fl oz  ,253,0.9,10,0.5,0.3,2.0,FDA,USDA,
69,09123,100,"Juice, grapefruit, bottle/carton",8,fl oz  ,246,13,10,35,0.0,113,FDA,USDA,
225,09152,524,"Juice, lemon, bottled",1,tsp  ,5,0.1,3,0.1,0.0,0.2,FDA,"FDA, USDA",
174,09207,352,"Juice, orange, bottle/carton",8,fl oz  ,249,21,10,20,4.0,60,FDA,USDA,
338,09209,98,"Juice, orange, from frozen concentrate, reconstituted",8,fl oz  ,249,1.0,7,0.4,0.5,1.7,FDA,USDA,
137,09409,256,"Juice, pineapple, canned",8,fl oz  ,250,0.5,10,0.6,0.0,1.5,FDA,USDA,
339,09294,103,"Juice, prune, bottled",8,fl oz  ,256,3.4,7,3.2,1.0,8.2,FDA,USDA,
314,11886,261,"Juice, tomato, bottled ",8,fl oz  ,243,2.7,7,0.7,1.7,3.4,FDA,USDA,
226,11578,525,"Juice, tomato-vegetable, bottled",8,fl oz  ,253,1.9,3,1.2,1.0,3.3,FDA,USDA,
310,14293,105,"Lemonade, from frozen concentrate, reconstituted ",8,fl oz  ,247,0.3,7,0.2,0.0,0.5,FDA,USDA,
322,,"331, 509","Meal replacement, liquid, ready to drink (RTD), assorted flavors ",8,fl oz  ,252,98,10,103,45,360,FDA,Similar USDA item,
215,14066,510,"Powder, protein",3,tbsp,18.2,18,3,8.3,12,27,FDA,estimate,
109,14355,197,"Tea, brewed from tea bag",12,fl oz  ,360,0.4,10,0.4,0.0,1.4,FDA,"FDA, USDA",
14,14352,382,"Tea, decaffeinated, brewed from tea bag",12,fl oz  ,360,0.5,7,0.3,0.0,0.7,FDA,"FDA, USDA",
184,14555,380,"Water, mineral/spring, bottled",12,fl oz  ,360,0.7,35,1.0,0.0,4.7,FDA,"FDA, USDA",
439,14411,,"Water, tap, drinking2",12,fl oz  ,360,3.9,40,7.0,0.0,39,USDA,"FDA, USDA",
Seafood,,,,,,,,,,,,,,
389,15141,,"Crustaceans, crab, blue, canned",3,oz,85,32,3,11,23,44,USDA,"FDA, USDA",
500,(100330),,"Crustaceans, crab, blue, lump, pasteurized",4,oz,110,49,8,10,32,67,USDAD,FDA,
390,15148,,"Crustaceans, lobster, northern, cooked, moist heat",3,oz,85,157,3,37,118,192,USDA,"FDA, USDA",
391,15149 (100327),,"Crustaceans, shrimp, mixed species, raw",4,oz,110,16,17,12,4.5,42,USDAD,"FDA, USDA",
132,15151,244,"Crustaceans, shrimp, precooked, shell removed, no tail",3,oz,85,13,39,8.7,2.9,47,FDA/USDA,"FDA, USDA",
33,15027,34,"Fish sticks or patty, frozen, oven-cooked ",3,oz,85,57,14,24,21,114,FDA/USDA,"FDA, USDA",
499,15234,,"Fish, catfish, farmed, raw",4,oz,110,2.1,8,0.9,1.3,3.9,USDAD,FDA,
165,15235,339,"Fish, catfish, pan-cooked with oil",3,oz,85,2.7,35,2.1,0.0,6.9,FDA,"FDA, USDA",
498,(100328),,"Fish, cod, Atlantic, wild, raw",4,oz,110,125,8,128,26,397,USDAD,FDA,
186,15192,387,"Fish, cod, baked",3,oz,85,146,28,54,75,281,FDA,"FDA, USDA",
375,15019,,"Fish, cod, Pacific, raw",4,oz,110,144,7,74,56,265,USDA,"FDA, USDA",
376,15028,,"Fish, flatfish (flounder and sole species), raw",4,oz,110,16,4,4.3,12,22,USDA,"FDA, USDA",
377,15033,,"Fish, haddock, raw",4,oz,110,250,3,97,152,345,USDA,"FDA, USDA",
378,15036,,"Fish, halibut, Atlantic and Pacific, raw",4,oz,110,8.8,5,1.4,8.1,11,USDA,"FDA, USDA",
379,15057,,"Fish, ocean perch, Atlantic, raw",4,oz,110,10,4,2.4,8.1,13,USDA,"FDA, USDA",
396,15266,,"Fish, pollock, Alaska, raw",4,oz,110,48,3,9.6,41,59,USDA,"FDA, USDA",
380,15070,,"Fish, rockfish, Pacific, mixed species, raw",4,oz,110,15,3,5.2,12,22,USDA,"FDA, USDA",
496,15236,,"Fish, salmon, Atlantic, farmed, raw",4,oz,110,3.6,8,1.4,1.6,6.1,USDAD,FDA,
421,35171,,"Fish, salmon, chum, dried (Alaska Native)",1,portion,30,12,1,,,,USDA,FDA ,
395,15260,,"Fish, salmon, pink, canned, drained solids",3,oz,85,12,2,,6.3,17,USDA,"FDA, USDA",
381,15083,,"Fish, salmon, pink, raw",4,oz,110,29,5,17,13,55,USDA,"FDA, USDA",
384,15087,,"Fish, salmon, sockeye, canned, drained solids",3,oz,85,19,1,,,,USDA,"FDA, USDA",
382,15085,,"Fish, salmon, sockeye, raw",4,oz,110,16,2,,13,19,USDA,"FDA, USDA",
495,(100324),,"Fish, salmon, sockeye, wild, raw",4,oz,110,20,8,1.8,17,23,USDAD,FDA,
158,15237,318,"Fish, salmon, steaks/fillets, baked",3,oz,85,11,35,6.0,0.0,25,FDA,"FDA, USDA",
422,35184,,"Fish, smelt, dried (Alaska Native)",1,portion,30,65,1,,,,USDA,FDA ,
371,,,"Fish, swai, cooked",3,oz,85,6.3,2,,6.3,6.3,USDA,"FDA, USDA",
385,15110,,"Fish, swordfish, raw",4,oz,110,21,4,4.1,18,27,USDA,"FDA, USDA",
187,15262,388,"Fish, tilapia, baked",3,oz,85,5.8,28,12,0.0,69,FDA,"FDA, USDA",
497,(100326),,"Fish, tilapia, farmed, raw",4,oz,110,4.6,8,3.6,1.0,12,USDAD,FDA,
386,15115,,"Fish, trout, rainbow, wild, raw",4,oz,110,8.1,1,,,,USDA,"FDA, USDA",
166,15121,340,"Fish, tuna, canned in water, drained",3,oz,85,7.4,15,1.5,5.6,10,FDA/USDA,"FDA, USDA",
388,15118,,"Fish, tuna, fresh, bluefin, cooked, dry heat",3,oz,85,20,4,3.8,15,24,USDA,"FDA, USDA",
387,15117,,"Fish, tuna, fresh, bluefin, raw",4,oz,110,19,4,6.5,13,28,USDA,"FDA, USDA",
420,35091,,"Fish, whitefish, broad, including head, eyes, cheeks and soft bones (Alaska Native), raw",4,oz,110,37,1,,,,USDA,"FDA, USDA",
392,15160,,"Mollusks, clam, mixed species, canned, drained solids",3,oz,85,57,4,7.7,49,66,USDA,"FDA, USDA",
393,15169,,"Mollusks, oyster, eastern, wild, cooked, moist heat",3,oz,85,93,3,22,69,112,USDA,"FDA, USDA",
394,15172,,"Mollusks, scallop, mixed species, raw",4,oz,110,8.1,4,0.0,8.1,8.1,USDA,"FDA, USDA",
Grains3,,,,,,,,,,,,,,
16,20081,900,"Flour, white, all-purpose",0.25,cup,30,0.3,3,0.4,0.0,0.8,FDA,"FDA, USDA",
53,20110,69,"Noodles, egg, enriched, boiled",0.75,cup,120,4.4,10,1.4,2.0,6.5,FDA,USDA,
347,20321,,"Pasta, enriched, boiled in water with iodized salt using amount per pasta label",1,cup,132,30,4,8.7,17,37,USDA,USDA,
232,20134,539,"Pasta, rice noodles, cooked",0.75,cup,132,1.1,3,2.0,0.0,3.4,FDA,USDA,
171,20121,347,"Pasta, spaghetti, enriched, boiled",1,cup,124,0.4,10,1.1,0.0,3.5,FDA,"FDA, USDA",
233,20125,540,"Pasta, whole wheat, cooked",1,cup,151,0.0,3,0.0,0.0,0.0,FDA,USDA,
223,20137,522,"Quinoa, cooked",0.75,cup,140,0.0,3,0.0,0.0,0.0,FDA,"FDA, USDA",
200,20041,402,"Rice, brown, cooked",0.75,cup,146,0.0,28,0.0,0.0,0.0,FDA,USDA,
40,20051,50,"Rice, white, enriched, cooked",0.75,cup,140,0.3,34,1.5,0.0,8.8,FDA,"FDA, USDA",
Cereals,,,,,,,,,,,,,,
254,,74,"Cereal, bran with raisins",0.75,cup,45,0.3,10,0.3,0.0,0.8,FDA,USDA,
253,,71,"Cereal, corn flakes",1.50,cup,42,0.1,10,0.2,0.0,0.5,FDA,USDA,
43,08091,53,"Cereal, corn/hominy grits, enriched, cooked",1,cup,257,0.1,10,0.2,0.0,0.5,FDA,USDA,
42,08169,52,"Cereal, cream of wheat (farina), enriched, cooked",1,cup,251,0.1,10,0.2,0.0,0.5,FDA,USDA,
255,,75,"Cereal, crisped rice",1.33,cup,37,0.1,10,0.1,0.0,0.3,FDA,USDA,
306,,72,"Cereal, fruit-flavored, sweetened4",1,cup,36,0.2,6,0.1,0.1,0.3,FDA,USDA,
266,,512,"Cereal, granola",0.50,cup,48,5.2,3,1.1,4.0,6.2,FDA,USDA,
308,,76,"Cereal, granola with raisins",0.33,cup,34,4.8,7,1.3,3.2,6.9,FDA,USDA,
256,,77,"Cereal, oat ring",1.50,cup,42,0.3,10,0.2,0.0,0.5,FDA,USDA,
267,,513,"Cereal, oat ring, honey",1.50,cup,42,0.0,3,0.0,0.0,0.0,FDA,Similar USDA item,
41,08121,51,"Cereal, oatmeal, plain, cooked",1,cup,234,0.5,10,0.9,0.0,2.6,FDA,"FDA, USDA",
307,,73,"Cereal, shredded wheat",0.75,cup,36,0.0,7,0.1,0.0,0.2,FDA,USDA,
268,,514,"Cereal, shredded wheat, frosted",0.75,cup,40,0.0,3,0.0,0.0,0.0,FDA,"FDA, USDA",
269,,515,"Cereal, whole wheat, cooked",1,cup,242,0.0,3,0.0,0.0,0.0,FDA,USDA,
Baked Products,,,,,,,,,,,,,,
133,18001,249,"Bagel, plain, toasted ",1,"medium (3.5"" to 4"" diameter)",105,0.7,35,1.8,0.0,9.8,FDA,USDA,
305,18015,61,"Biscuits, refrigerated-type, baked ",1,biscuit,51,1.2,8,0.8,0.4,2.9,FDA/USDA,USDA,
344,28397,248,"Bread, multigrain5",2,slices,50,0.9,4,1.0,0.0,2.2,FDA,FDA,
337,18060,64,"Bread, rye ",2,slices,50,0.3,7,0.2,0.0,0.5,FDA,FDA,
199,18350,401,"Bread, white roll/bun (hamburger/hotdog)6",1,bun,50,1.2,16,1.7,0.0,5.0,FDA/USDA,FDA,
442,18350*,401*,"Bread, white roll/bun (hamburger/hotdog), with iodate dough conditioner",1,bun,50,530,16,171,240,865,FDA/USDA,FDA,
46,18069,58,"Bread, white, enriched, pre-sliced7",2,slices,50,0.9,15,1.3,0.0,4.8,FDA/USDA,USDA,
440,18069*,58*,"Bread, white, enriched, pre-sliced, with iodate dough conditioner",2,slices,50,296,19,99,175,589,FDA/USDA,USDA,
48,18075,62,"Bread, whole-wheat, commercially prepared8",2,slices,50,1.0,21,1.3,0.0,4.8,FDA/USDA,USDA,
441,18075*,62*,"Bread, whole-wheat, commercially prepared, with iodate dough conditioner",2,slices,50,273,8,107,170,505,FDA/USDA,USDA,
15,18079,903,Breadcrumbs,0.25,cup,30,34,3,20,14,54,FDA,FDA,
170,18362,345,Breakfast tart/toaster pastry9,1,"pastry (4-1/4"" diameter)",110,2.5,9,2.5,0.0,5.9,FDA,FDA,
146,18151,291,"Brownie, commercially prepared",1,"2 3/4"" square",56,5.5,10,6.7,0.5,24,FDA,USDA,
99,18096,178,"Cake, chocolate with chocolate icing, commercially prepared10",1,piece (1/8 of 18 oz  cake),64,5.2,34,1.7,2.0,11,FDA,USDA,
263,,369,"Cake, white with white icing, commercially prepared11",1,piece (1/8 of 18 oz  cake),64,8.4,33,9.5,1.7,46,FDA,Similar USDA item ,
399,18140,,"Cake, yellow with chocolate frosting, commercially prepared",1,piece (1/8 of 18 oz  cake),64,4.7,3,0.0,4.7,4.7,USDA,USDA,
185,18964,386,"Cinnamon roll, from package, iced",1,roll,65,2.5,30,2.2,0.0,7.8,FDA,USDA,
100,18160,183,"Cookies, from package, chocolate chip",2,cookies,30,0.3,11,0.3,0.0,0.8,FDA/USDA,"FDA, USDA",
101,18166,184,"Cookies, from package, sandwich with crème filling",3,cookies,36,0.1,10,0.1,0.0,0.4,FDA,USDA,
147,18204,292,"Cookies, from package, sugar12",2,cookies,34,1.6,8,0.9,0.0,3.0,FDA,USDA,
47,18024,60,"Cornbread, homemade ",1,piece  ,65,17,10,7.9,8.0,32,FDA,USDA,
398,18023,,"Cornbread, from dry mix, prepared with 2% milk, margarine, and eggs",1,piece  ,60,10.0,1,,,,USDA,USDA,
136,18229,252,"Crackers, butter-type",10,crackers ,32,0.1,10,0.1,0.0,0.4,FDA,USDA,
229,18214,531,"Crackers, cheese, regular",30," crackers, 1"" square",30,3.2,4,1.7,1.4,5.4,FDA/USDA,"FDA, USDA",
135,18173,251,"Crackers, graham ",2,crackers ,30,0.3,10,0.2,0.0,0.8,FDA,"FDA, USDA",
51,18228,66,"Crackers, saltine ",10,"crackers, square",30,0.1,10,0.1,0.0,0.2,FDA,"FDA, USDA",
145,18248,290,"Doughnut, cake-type, plain, commercially prepared",1,"medium (3-1/4"" diameter)",55,8.4,10,8.2,2.8,23,FDA,"FDA, USDA",
134,18437,250,"English muffin, plain, toasted ",1,muffin,55,0.6,35,1.6,0.0,8.5,FDA,"FDA, USDA",
50,18274,65,"Muffin, blueberry, commercially prepared",1,"small (2-3/4"" diameter)",66,8.2,35,3.2,3.5,23,FDA,USDA,
169,18936,344,"Pancakes, frozen, heated ",2,pancakes,96,6.4,12,1.7,3.1,10.0,FDA/USDA,USDA,
234,18335,541,"Pie crust, commercially prepared",1,"slice (1/8 of 9"" diameter)",19,0.2,3,0.4,0.0,0.7,FDA,USDA,
102,18443,185,"Pie, apple, fresh/frozen, commercially prepared",1,"slice (1/8 of 9"" diameter)",125,0.5,10,0.6,0.0,1.5,FDA,"FDA, USDA",
103,18326,186,"Pie, pumpkin, fresh/frozen, commercially prepared",1,slice ,133,29,10,4.5,23,39,FDA,USDA,
3,18244,182,Sweet roll/Danish pastry ,1,"pastry (4-1/4"" diameter)",65,3.9,4,0.9,2.9,5.0,FDA,USDA,
198,18363,400,"Tortilla, corn",2,tortillas,48,0.2,28,0.4,0.0,1.7,FDA,USDA,
49,18970,63,"Tortilla, flour",1,tortilla,49,0.2,34,0.7,0.0,3.7,FDA,USDA,
Sweets and Snacks,,,,,,,,,,,,,,
216,19919,511,"Candy, fruit snacks",0.75,cup,30,0.5,3,0.8,0.0,1.5,FDA,"FDA, USDA",
178,19155,371,"Candy bar (chocolate, nougat, and nuts) ",1,bar,28,4.9,10,0.8,3.8,6.1,FDA,USDA,
104,19120,187,"Candy bar, milk chocolate, plain ",1,bar,28,13,10,1.6,9.8,15,FDA,USDA,
148,19107,293,"Candy, hard, assorted flavors",3,pieces,18,1.4,10,2.3,0.0,6.4,FDA,USDA,
85,19411,138,"Chips, potato",22,chips,28,0.7,10,1.0,0.0,2.5,FDA,USDA,
402,19412,,"Chips, potato, made from dried potatoes, cheese-flavor",22,chips,28,0.4,1,,,,USDA,Similar USDA item ,
52,25028,67,"Chips, corn/tortilla ",1,oz,28,0.5,10,0.5,0.0,1.3,FDA,FDA,
105,19173,190,"Gelatin dessert, assorted flavors, prepared",0.50,cup,135,0.7,10,0.6,0.1,1.9,FDA,USDA,
224,19015,523,Granola bar,1,bar,28,0.5,3,0.5,0.0,0.8,FDA,USDA,
327,,370,"Granola bar, with raisins",1,bar,28,0.5,7,0.5,0.2,1.3,FDA,Similar USDA item ,
97,19296,172,Honey ,1,tbsp,21,0.1,10,0.1,0.1,0.4,FDA,USDA,
151,19300,296,"Jelly, assorted flavors",1,tbsp,21,0.2,10,0.1,0.0,0.4,FDA,USDA,
144,19283,288,"Popsicle, fruit-flavored13",1.75,oz ,52,0.6,3,0.6,0.2,1.3,FDA,USDA,
179,25026,372,"Popcorn, microwave, butter-flavored ",4,cups,32,0.1,10,0.2,0.0,0.8,FDA,USDA,
149,19047,294,"Pretzels, hard, salted ",5,twists,30,0.1,10,0.1,0.0,0.4,FDA,USDA,
235,19183,542,"Pudding, ready-to-eat, chocolate",0.50,cup,108,15,3,1.2,14,16,FDA,USDA,
326,,368,"Pudding, ready-to-eat, assorted flavors  other than chocolate ",0.50,cup,108,5.1,7,2.0,3.2,8.2,FDA,USDA,
401,19193,,"Pudding, rice, ready-to-eat",0.50,cup,92,25,1,,,,USDA,USDA,
289,19097,287,"Sherbet, fruit-flavored14",0.67,cup,100,15,3,0.7,14,15,FDA,USDA,
330,,385,"Sorbet, fruit-flavored",0.67,cup,100,0.8,6,0.6,0.0,1.8,FDA,Similar USDA item ,
95,19335,169,"Sugar, white, granulated",2,tsp,8,0.0,10,0.0,0.0,0.0,FDA,"FDA, USDA",
150,19348,295,"Syrup, chocolate ",2,tbsp  ,38,0.2,10,0.2,0.1,0.8,FDA,USDA,
96,19129,170,"Syrup, pancake ",2,tbsp  ,40,0.1,10,0.1,0.0,0.2,FDA,USDA,
Mixed Dishes,,,,,,,,,,,,,,
284,,269,"Beef stroganoff with noodles, homemade ",1,cup,256,16,7,2.7,14,21,FDA,FNDDS,
88,22906,152,"Chicken potpie, frozen, heated ",1,single-serve pie,302,11,10,6.3,5.7,27,FDA,USDA,
86,22904,145,"Chili con carne with beans, canned ",1,cup,242,4.1,10,2.5,0.0,6.8,FDA,USDA,
294,21127,355,"Coleslaw, mayonnaise-type, from grocery/deli ",0.50,cup,95,1.7,7,0.7,1.0,2.7,FDA,USDA,
411,22973,,"Corn dogs, frozen, prepared",2,corn dogs,156,37,1,,,,USDA,USDA,
6,22977,361,"Lasagna with meat, frozen, heated ",1,"2.5"" X 4"" piece  ",206,17,7,2.2,14,20,FDA,FNDDS,
418,32019,,"Lasagna, cheese, frozen, unprepared",1,"2.5"" X 4"" piece  ",227,24,5,7.6,17,34,USDA,FNDDS,
87,22960,146,"Macaroni and cheese, prepared from box mix ",1,cup,198,37,17,8.8,22,57,FDA/USDA,USDA,
291,,346,"Macaroni salad, from grocery/deli ",0.75,cup,153,4.9,7,1.8,2.9,8.1,FDA,FNDDS,
245,,148,"Meatloaf, beef, homemade ",3,oz,85,13,7,9.1,6.9,29,FDA,"FDA, USDA",
416,32008,,"Pasta mix, classic cheeseburger macaroni, unprepared",0.20,package,37,2.7,1,,,,USDA,"FNDDS, Branded Foods database",
417,32010,,"Pasta mix, Italian lasagna, unprepared",0.20,package,36,4.1,2,,2.7,5.4,USDA,Branded Foods database,
409,21505,,"Pizza, cheese topping, thin crust, frozen, baked",0.25,"medium pizza (11-13"" diameter)",134,31,7,6.7,22,39,USDA,"USDA, FNDDS",
410,22971,,Potato salad with egg,0.50,cup,125,1.9,5,0.0,1.9,1.9,USDA,USDA,
292,21140,353,"Potato salad, mayonnaise-type, from grocery/deli ",0.50,cup,125,3.2,7,2.2,0.0,6.3,FDA,Similar USDA item,
244,,142,"Spaghetti with meat sauce, homemade ",1,cup,250,4.6,7,1.5,2.5,6.5,FDA,FNDDS,
438,,,"Sushi, California roll",5,pieces,150,47,3,14,30,55,USDA,FNDDS,
415,32007,,"Taquitos, frozen, beef and cheese, oven-heated",3,pieces,126,9.3,1,,,,USDA,USDA,
414,32006,,"Taquitos, frozen, chicken and cheese, oven-heated",3,pieces,126,9.3,1,,,,USDA,USDA,
285,,272,"Tuna noodle casserole, homemade ",1,cup,224,36,7,21,24,81,FDA,FNDDS,
419,32037,,"Turnover, pepperoni pizza",1,turnover,127,27,1,,,,USDA,USDA,
Fast Foods,,,,,,,,,,,,,,
197,21142,399,"Biscuits, fast food",1,biscuit,55,5.0,32,1.3,3.3,9.1,FDA/USDA,"FDA, USDA",
10,21064,365,"Burrito with beef, beans and cheese, from Mexican carry-out",1,burrito,241,13,7,5.3,6.5,24,FDA,USDA,
162,21469,336,"Chicken breast, fried, with skin, fast food15",3,oz,85,3.3,33,1.8,0.0,8.5,FDA,"FDA, USDA",
164,21470,338,"Chicken leg, fried, with skin, fast food",3,oz,85,2.0,35,1.4,0.0,6.5,FDA,"FDA, USDA",
131,21229,241,"Chicken nuggets, fast food",3,oz,85,0.8,35,1.4,0.0,6.2,FDA,"FDA, USDA",
303,01110,7,"Milk shake, chocolate, fast food",8,fl oz  ,227,80,7,21,51,103,FDA,"FDA, USDA",
193,01111,394,"Milk shake, vanilla, fast food",8,fl oz  ,227,82,28,13,50,107,FDA,"FDA, USDA",
318,21302,281,"Pizza, cheese and pepperoni, regular crust, from pizza carry-out ",1/8,"large (13-15"" diameter) pizza",124,15,11,5.5,8.8,24,FDA/USDA,FNDDS,
