"USDA, FDA and ODS-NIH Database for the Iodine Content of Common Foods per Serving, Release 4, October 2024",,,,,,,,,,,,,,
DB_ID,"Standard Reference (Foundation FoodsA) 
FDC NDB No.",TDS No.,Description,Serving size,Serving measure,Serving weight (g),Iodine      (mcg/ serving)B,n,SD ,Min,Max,Source,Serving size referenceC,
488,,910,Cocoa powder,1,tbsp,7.38,0.0,1,,,,FDA,FDA,
19,02047,909,"Salt, table, iodized",0.25,tsp,1.5,78,26,20,51,134,FDA/USDA,"FDA, USDA",
372,,,"Sea salt, iodized",0.25,tsp,1.5,70,9,17,34,91,USDA,"FDA, similar USDA item  ",
373,,904,"Sea salt, non-iodized",0.25,tsp,1.5,0.0,28,0.0,0.0,0.0,FDA/USDA,"FDA, similar USDA item  ",
"Soups, Sauces, Gravies and Condiments",,,,,,,,,,,,,,
273,,532,"Broth, chicken, ready-to-use from carton",8,fl oz  ,245,1.7,3,0.5,1.2,2.2,FDA,FDA ,
180,06116,374,"Brown gravy, canned or bottled ",0.25,cup  ,58,0.9,10,0.2,0.6,1.2,FDA,"FDA, USDA",
412,27052,,"Dip, salsa con queso (salsa with cheese)",2,tbsp  ,30,5.7,6,4.3,2.2,14,USDA,"FDA, USDA",
98,11935,173,"Ketchup, tomato, bottled",1,tbsp  ,17,0.2,10,0.1,0.1,0.3,FDA,"FDA, USDA",
152,02046,298,"Mustard, yellow, plain",1,tsp,5,0.0,10,0.0,0.0,0.1,FDA,"FDA, USDA",
177,06164,359,"Salsa, tomato, bottled",2,tbsp  ,36,0.6,10,0.3,0.0,1.0,FDA,"FDA, USDA",
203,06150,405,"Sauce, barbecue, bottled",2,tbsp  ,34,0.9,27,0.4,0.3,2.4,FDA,"FDA, USDA",
366,06179,,"Sauce, fish, ready-to-serve",1,tbsp  ,18,3.7,1,,,,USDA,"FDA, USDA",
219,16123/16124,518,"Sauce, soy",1,tbsp  ,16,0.1,3,0.0,0.1,0.1,FDA,"FDA, USDA",
12,27050,373,"Sauce, sweet & sour, bottled",0.25,cup  ,70,0.5,7,0.3,0.3,1.1,FDA,"FDA, USDA",
221,06931,520,"Sauce, tomato pasta, bottled",0.50,cup  ,132,2.1,3,0.6,1.7,2.8,FDA,USDA,
5,06404,283,"Soup, bean with bacon/pork, canned, condensed, prepared with water",1,cup,266,0.8,7,0.3,0.3,1.1,FDA,USDA,
274,,533,"Soup, broccoli cheese, canned, ready to eat (RTE)",1,cup,245,11,3,0.4,11,12,FDA,FDA,
246,,155,"Soup, chicken noodle, canned,  ready to eat (RTE)",1,cup,245,2.2,10,0.6,1.7,3.7,FDA,FDA,
230,06030,534,"Soup, clam chowder, New England, canned,  ready to eat (RTE)",1,cup,245,27,3,19,15,49,FDA,FDA,
319,,285,"Soup, clam chowder, New England, canned, condensed, prepared with whole milk",1,cup,245,48,7,13,32,66,FDA,FDA,
275,,535,"Soup, cream of mushroom, canned,  ready to eat (RTE)",1,cup,245,5.4,3,0.2,5.1,5.6,FDA,FDA,
276,,536,"Soup, cream of potato, canned,  ready to eat (RTE)",1,cup,245,8.0,3,0.9,7.4,9.1,FDA,FDA,
262,,367,"Soup, ramen noodles, prepared with water",1,cup,245,0.7,10,1.0,0.0,2.2,FDA,FDA,
247,,156,"Soup, tomato, canned,  ready to eat (RTE)",1,cup,245,1.7,10,0.5,0.7,2.7,FDA,FDA,
231,06742,537,"Soup, vegetable beef, canned,  ready to eat (RTE)",1,cup,245,4.5,3,2.6,2.0,7.1,FDA,FDA,
312,06471,157,"Soup, vegetable beef, canned, condensed, prepared with water",1,cup,245,2.6,7,1.0,2.0,4.9,FDA,"FDA, USDA",
277,,538,"Soup, vegetable, canned,  ready to eat (RTE)",1,cup,245,2.2,3,0.0,2.2,2.2,FDA,FDA,
Baby Foods,,,,,,,,,,,,,,
302,03165,730,"Baby food, apples with berries",0.50,cup,113,0.1,8,0.1,0.0,0.3,FDA,USDA,
240,03163,731,"Baby food, apples with fruit other than berries",0.50,cup,113,0.2,15,0.2,0.0,0.6,FDA,USDA,
122,03117,225,"Baby food, applesauce ",0.50,cup,113,0.1,15,0.1,0.0,0.2,FDA,USDA,
473,,755,"Baby food, apple and sweet potato with cinnamon, pouch",3.50,oz,99,0.1,5,0.2,0.0,0.3,FDA,label,
470,,751,"Baby food, apple, spinach and avocado, bowl/pouch",3.50,oz,99,2.5,5,0.2,2.3,2.7,FDA,label,
474,,756,"Baby food, apple, sweet potato and pineapple, pouch",3.50,oz,99,0.5,5,0.2,0.4,0.7,FDA,label,
298,03143,717,"Baby food, apricots with mixed fruit",0.50,cup,113,0.4,7,0.1,0.2,0.5,FDA,USDA,
157,43546,313,"Baby food, bananas",0.50,cup,113,0.2,15,0.5,0.0,1.9,FDA,USDA,
463,,744,"Baby food, banana and blueberry, pouch",3.50,oz,99,0.6,5,0.4,0.0,0.9,FDA,label,
462,,743,"Baby food, banana and strawberry, glass jar",4,oz,113,0.2,5,0.2,0.0,0.5,FDA,label,
464,,745,"Baby food, banana, apple and pear, plastic jar",4,oz,113,0.0,5,0.0,0.0,0.0,FDA,label,
461,,742,"Baby food, banana, blackberry and blueberry, plastic jar",4,oz,113,0.2,5,0.4,0.0,0.9,FDA,label,
123,03131,226,"Baby food, peaches",0.50,cup,113,0.1,29,0.2,0.0,1.0,FDA,USDA,
